,GEOID_TRACT_10,GEOID_TRACT_20,GEOID_TRACT_20,GEOID_TRACT_20,GEOID_TRACT_20,GEOID_TRACT_20,GEOID_TRACT_20,GEOID_TRACT_20
0,10005050406,10005050406,10005050407,,,,,
1,10005050703,10005050703,,,,,,
2,10003013611,10003013611,,,,,,
3,10003011204,10003011203,10003011204,,,,,
4,10005050302,10005050302,,,,,,
5,10003010104,10003010104,,,,,,
6,10003013505,10003013505,,,,,,
7,10003014705,10003014705,,,,,,
8,10001042201,10001042203,10001042204,10001042205,,,,
9,10003002900,10003002900,,,,,,
10,10003015100,10003015100,,,,,,
11,10003001902,10003001902,10003015502,,,,,
12,10003011201,10003011201,,,,,,
13,10003000602,10003000602,,,,,,
14,10001042000,10001042000,,,,,,
15,10003013903,10003013903,,,,,,
16,10003012600,10003012500,10003012600,,,,,
17,10003015900,10003015900,,,,,,
18,10005050704,10005050707,10005050708,,,,,
19,10003016301,10003014903,10003014906,10003016301,,,,
20,10001040501,10001040501,,,,,,
21,10005050803,10005050801,10005050806,10005050807,10005050808,,,
22,10003016100,10003015802,10003015900,10003016000,10003016100,,,
23,10003014501,10003014501,,,,,,
24,10003014807,10003014813,10003014814,,,,,
25,10003012400,10003002500,10003012000,10003012200,10003012400,10003012500,,
26,10001040502,10001040502,,,,,,
27,10003013607,10003013607,10003013612,10003013613,,,,
28,10003016604,10003016613,10003016614,,,,,
29,10003013604,10003013604,10003013613,,,,,
30,10003016804,10003016807,10003016808,,,,,
31,10003000900,10003000900,,,,,,
32,10003016801,10003016805,10003016806,,,,,
33,10003013400,10003013400,,,,,,
34,10003014403,10003014402,10003014403,,,,,
35,10003010101,10003010105,10003010106,,,,,
36,10003014908,10003014908,,,,,,
37,10005050801,10005050801,10005050806,,,,,
38,10003016901,10001040201,10003016901,10003016904,,,,
39,10003013608,10003013608,,,,,,
40,10003012900,10003002700,10003012600,10003012700,10003012900,10003015200,,
41,10005051303,10005051313,10005051314,,,,,
42,10001041100,10001041101,10001041200,10001042203,10001043202,10001980000,,
43,10003011203,10003011203,,,,,,
44,10003012700,10003012700,,,,,,
45,10001041801,10001041803,10001041804,,,,,
46,10003016305,10003016200,10003016308,10003016309,,,,
47,10003010800,10003000200,10003010800,10003011000,,,,
48,10003011900,10003002400,10003011900,,,,,
49,10003014703,10003014703,10003014705,,,,,
50,10001043400,10001042500,10001043202,10001043400,,,,
51,10005050401,10005050401,,,,,,
52,10005051007,10005051009,10005051016,10005051017,,,,
53,10003016200,10003016100,10003016200,,,,,
54,10001041600,10001041500,10001041600,,,,,
55,10005051306,10005051309,10005051310,,,,,
56,10001041500,10001041400,10001041500,10001041701,,,,
57,10005050601,10005050601,,,,,,
58,10005050902,10005050903,10005050904,10005050905,10005051009,10005980000,,
59,10001041900,10001041900,,,,,,
60,10003010502,10003010502,,,,,,
61,10003014805,10003014810,10003014811,10003014812,10003014814,,,
62,10003012000,10003012000,,,,,,
63,10003014706,10003014706,,,,,,
64,10003013501,10003011800,10003013501,,,,,
65,10005051102,10005051102,,,,,,
66,10003016601,10003016609,10003016610,10003016611,,,,
67,10001040201,10001040201,10001040204,10003016901,,,,
68,10003013614,10003013000,10003013100,10003013604,10003013614,,,
69,10003013612,10003013507,10003013612,,,,,
70,10003013506,10003013506,,,,,,
71,10003015400,10003001902,10003015400,10003015502,10003015600,,,
72,10005050706,10005050706,10005051103,,,,,
73,10001041000,10001041000,10001041200,10001980000,,,,
74,10003014200,10003014200,10003014501,,,,,
75,10003014402,10003014402,,,,,,
76,10003013300,10003013300,,,,,,
77,10005051400,10005051400,,,,,,
78,10005051201,10005051201,,,,,,
79,10003014810,10003014808,10003014810,,,,,
80,10003014809,10003014808,10003014809,10003016301,,,,
81,10003015502,10003015502,10003015600,10003990100,,,,
82,10005050501,10005050501,,,,,,
83,10005050705,10005050709,10005050710,10005050711,,,,
84,10003011206,10003011206,10003011300,,,,,
85,10003014907,10003014907,,,,,,
86,10001041300,10001041300,10001041500,,,,,
87,10001043202,10001040502,10001042208,10001042500,10001043202,10001043400,,
88,10005050407,10005050407,,,,,,
89,10003012300,10003002400,10003012200,10003012300,10003012400,,,
90,10005050901,10005050801,10005050905,,,,,
91,10001043100,10001043100,,,,,,
92,10003012100,10003012100,10003012200,,,,,
93,10003014803,10003014803,10003014808,10003014813,,,,
