Tract_2020,Tract_2019
10001040100,['10001040100']
10001040201,['10001040201']
10001040203,['10001040203']
10001040204,['10001040202']
10001040205,['10001040202']
10001040206,['10001040202']
10001040501,['10001040501']
10001040502,"['10001040502', '10001043202']"
10001040700,['10001040700']
10001040900,['10001040900']
10001041000,['10001041000']
10001041101,['10001041100']
10001041200,['10001041200']
10001041300,['10001041300']
10001041400,['10001041400']
10001041500,"['10001041500', '10001041600']"
10001041600,['10001041600']
10001041701,"['10001041701', '10001042100']"
10001041702,['10001041702']
10001041802,"['10001041701', '10001041802']"
10001041803,['10001041801']
10001041804,['10001041801']
10001041900,['10001041900']
10001042000,['10001042000']
10001042100,['10001042100']
10001042203,['10001042201']
10001042204,['10001042201']
10001042205,['10001042201']
10001042206,['10001042202']
10001042207,['10001042202']
10001042208,['10001042202']
10001042500,['10001042500']
10001042801,['10001042800']
10001042802,['10001042800']
10001042900,['10001042900']
10001043000,['10001043000']
10001043100,['10001043100']
10001043202,"['10001041100', '10001043202']"
10001043300,['10001043300']
10001043400,"['10001043202', '10001043400']"
10001980000,['10001041100']
10001990000,[]
10003000200,"['10003000200', '10003010800']"
10003000300,['10003000300']
10003000400,['10003000400']
10003000500,['10003000500']
10003000601,"['10003000601', '10003010702']"
10003000602,['10003000602']
10003000900,['10003000900']
10003001100,['10003001100']
10003001200,['10003001200']
10003001300,['10003001300']
10003001400,['10003001400']
10003001500,['10003001500']
10003001600,['10003001600']
10003001902,['10003001902']
10003002100,['10003002100']
10003002200,['10003002200']
10003002300,['10003002300']
10003002400,"['10003002400', '10003012200']"
10003002500,['10003002500']
10003002600,['10003002600']
10003002700,['10003002700']
10003002800,['10003002800']
10003002900,['10003002900']
10003003002,['10003003002']
10003010104,['10003010104']
10003010105,['10003010101']
10003010106,['10003010101']
10003010200,['10003010200']
10003010300,['10003010300']
10003010400,['10003010400']
10003010502,['10003010502']
10003010703,['10003010702']
10003010704,['10003010702']
10003010800,['10003010800']
10003010900,['10003010900']
10003011000,['10003011000']
10003011100,"['10003011100', '10003011204']"
10003011201,['10003011201']
10003011202,['10003011202']
10003011203,['10003011203']
10003011204,['10003011204']
10003011205,['10003011205']
10003011206,['10003011206']
10003011300,['10003011300']
10003011400,['10003011400']
10003011500,['10003011500']
10003011600,['10003011600']
10003011700,['10003011700']
10003011800,['10003011800']
10003011900,['10003011900']
10003012000,['10003012000']
10003012100,"['10003012000', '10003012100']"
10003012200,['10003012200']
10003012300,['10003012300']
10003012400,['10003012400']
10003012500,['10003012500']
10003012600,['10003012600']
10003012700,"['10003012700', '10003012900']"
10003012900,['10003012900']
10003013000,['10003013000']
10003013100,['10003013100']
10003013200,['10003013200']
10003013300,"['10003013200', '10003013300']"
10003013400,['10003013400']
10003013501,['10003013501']
10003013505,['10003013505']
10003013506,['10003013506']
10003013507,['10003013503']
10003013508,['10003013503']
10003013604,"['10003013604', '10003013613']"
10003013607,['10003013607']
10003013608,['10003013608']
10003013610,['10003013610']
10003013611,['10003013611']
10003013612,['10003013612']
10003013613,['10003013613']
10003013614,['10003013614']
10003013615,['10003013615']
10003013700,['10003013700']
10003013800,['10003013800']
10003013901,['10003013901']
10003013903,['10003013903']
10003013905,['10003013904']
10003013906,['10003013904']
10003014000,['10003014000']
10003014100,['10003014100']
10003014200,['10003014200']
10003014301,['10003014300']
10003014302,['10003014300']
10003014402,['10003014402']
10003014403,['10003014403']
10003014404,['10003014404']
10003014501,['10003014501']
10003014502,['10003014502']
10003014702,['10003014702']
10003014703,['10003014703']
10003014705,['10003014705']
10003014706,['10003014706']
10003014803,['10003014803']
10003014808,['10003014808']
10003014809,['10003014809']
10003014810,['10003014810']
10003014811,['10003014805']
10003014812,['10003014805']
10003014813,['10003014807']
10003014814,['10003014807']
10003014903,['10003014903']
10003014904,['10003014904']
10003014906,['10003014906']
10003014907,['10003014907']
10003014908,['10003014908']
10003014909,['10003014909']
10003015000,['10003015000']
10003015100,['10003015100']
10003015200,"['10003015200', '10003015400']"
10003015400,['10003015400']
10003015502,['10003015502']
10003015600,"['10003015502', '10003015600']"
10003015802,['10003015802']
10003015900,['10003015900']
10003016000,['10003016000']
10003016100,['10003016100']
10003016200,['10003016200']
10003016301,"['10003014809', '10003016301']"
10003016306,['10003016302']
10003016307,['10003016302']
10003016308,['10003016305']
10003016309,"['10003015000', '10003016305']"
10003016401,['10003016401']
10003016404,['10003016404']
10003016608,['10003016608']
10003016609,['10003016601']
10003016610,['10003016601']
10003016611,['10003016602']
10003016612,['10003016602']
10003016613,['10003016604']
10003016614,['10003016604']
10003016805,['10003016801']
10003016806,['10003016801']
10003016807,['10003016804']
10003016808,['10003016804']
10003016901,['10003016901']
10003016904,"['10003016901', '10003016904']"
10003980100,[]
10003990100,[]
10005050101,['10005050101']
10005050103,['10005050103']
10005050104,"['10001042500', '10005050104']"
10005050105,['10005050105']
10005050200,['10005050200']
10005050302,['10005050302']
10005050303,['10005050301']
10005050304,['10005050301']
10005050401,['10005050401']
10005050403,['10005050403']
10005050405,['10005050405']
10005050406,['10005050406']
10005050407,['10005050407']
10005050408,['10005050408']
10005050501,['10005050501']
10005050503,['10005050503']
10005050505,['10005050504']
10005050506,['10005050504']
10005050601,['10005050601']
10005050603,['10005050602']
10005050604,['10005050602']
10005050701,['10005050701']
10005050703,['10005050703']
10005050706,['10005050706']
10005050707,['10005050704']
10005050708,['10005050704']
10005050709,['10005050705']
10005050710,['10005050705']
10005050711,['10005050705']
10005050801,['10005050801']
10005050804,['10005050802']
10005050805,['10005050802']
10005050806,['10005050803']
10005050807,['10005050803']
10005050808,['10005050803']
10005050903,['10005050902']
10005050904,['10005050902']
10005050905,"['10005050901', '10005050902']"
10005051008,"['10005051003', '10005051004']"
10005051009,['10005051003']
10005051010,['10005051004']
10005051011,['10005051004']
10005051012,['10005051005']
10005051013,['10005051005']
10005051014,['10005051006']
10005051015,['10005051006']
10005051016,['10005051007']
10005051017,['10005051007']
10005051101,['10005051101']
10005051102,"['10005051102', '10005051103']"
10005051103,['10005051103']
10005051201,['10005051201']
10005051202,['10005051202']
10005051203,['10005051203']
10005051204,['10005051204']
10005051205,['10005051205']
10005051302,['10005051302']
10005051307,['10005051301']
10005051308,['10005051301']
10005051309,['10005051306']
10005051310,['10005051306']
10005051311,['10005051305']
10005051312,['10005051305']
10005051313,['10005051303']
10005051314,['10005051303']
10005051400,['10005051400']
10005051501,['10005051500']
10005051502,['10005051500']
10005051701,['10005051701']
10005051702,['10005051702']
10005051801,['10005051801']
10005051802,['10005051802']
10005051900,['10005051900']
10005980000,['10005050902']
10005990000,[]
