GEOID,B01003_001E_x,B02001_002E_x,B01001_026E_x,B01003_001M_x,B02001_002T,B01001_026T,B01003_001E_y,B01003_001M_y,B02001_002E_y,B02001_002M,B01001_026E_y,B01001_026M,state,county,tract
10001040100,6552.90823032861,5980.491231235279,3256.191566523833,935.3176744056213,1152.917523198257,669.7113064538543,7531,759,6181,793,3658,433,10,001,040100
10001040201,5058.7297158504925,3571.3682478380324,2720.36850055654,999.2858692854508,991.0518157510844,617.2713794757256,4766,485,3103,383,2176,259,10,001,040201
10001040203,4994.888064516129,3138.191522856297,2595.8869126269747,839.3931527475978,615.0009895377652,446.48959653065,5310,644,2999,502,2691,404,10,001,040203
10001040204,4657.007372900851,3352.0896780997787,2450.600443171046,1829.6535566146388,1746.926572098071,1034.6358157724558,6108,908,3867,523,3447,591,10,001,040204
10001040205,2877.6180671683387,2071.0184757965817,1514.234380908711,1303.481102357922,1062.3169540372921,660.9977553925439,3934,558,2448,439,2189,331,10,001,040205
10001040206,5206.474096118602,3747.5840630350776,2739.8032419255123,1807.84620407315,1407.389803854775,889.8532363291083,6495,753,4067,508,3328,538,10,001,040206
10001040501,4925.467289719626,1877.048729318906,2673.199281176139,994.4138127045725,448.49667430245887,570.7289315538844,4731,617,2756,492,2430,344,10,001,040501
10001040502,2073.9190227248478,1606.2358546324097,1110.4873655865879,526.8794430321566,549.1370614375186,234.70899769884207,2648,354,1681,313,1464,228,10,001,040502
10001040700,4825.595744680851,2707.612197316079,2499.838292095142,625.0890031584357,473.7160702133097,378.5805578399099,5631,1011,3276,710,2923,575,10,001,040700
10001040900,2558.5327102803735,1805.9675846165921,1411.288072595102,510.02213775399196,466.0975014759202,292.3464994946702,2373,381,1466,280,1314,250,10,001,040900
10001041000,5982.612359550561,3425.089084848672,3038.970639903966,1605.4850396297193,1106.3153005864392,757.8847389030325,6719,828,3186,744,3318,558,10,001,041000
10001041101,3450.0,2749.9661819411563,1806.0872505918157,449.7409882648151,340.29675638552123,235.43810060961525,3620,592,2973,565,1633,224,10,001,041101
10001041200,4206.0,1894.1693838661868,2222.7770484861317,1149.5356854085787,477.7374764881369,496.4731790122607,4130,468,1963,360,2080,374,10,001,041200
10001041300,2068.0,1237.4340173382707,1017.2058910178405,492.725786971502,347.88072055114446,224.63739118228017,2056,288,986,225,1033,178,10,001,041300
10001041400,3646.914874815906,1353.088302985674,1848.3227660998796,895.4450426592018,478.7820097530305,522.5730787276228,3390,416,1170,270,1606,276,10,001,041400
10001041500,3890.719796131125,2074.794868209892,2089.203012372837,646.2847255321963,431.05116458228554,465.3641738807341,4531,717,2458,649,2311,374,10,001,041500
10001041600,2074.0224719101125,1684.1279080001173,1055.9644439229032,588.9094507671713,423.2365073466044,276.92029346061486,2168,359,1490,361,1221,319,10,001,041600
10001041701,5595.87054960489,4006.3834556802663,2886.1666119048023,667.2460465660769,813.6573079032983,445.06507985226045,5808,667,3437,727,2798,439,10,001,041701
10001041702,4216.0,2792.8440366972477,2302.532110091743,431.18516897036505,460.5924969427287,311.65477883432084,4777,1010,3165,969,2215,329,10,001,041702
10001041802,5404.812156828748,3732.8912696343136,2745.0916921658268,921.5723300528099,859.0860949056672,555.9700396636617,6080,721,3675,588,3057,440,10,001,041802
10001041803,3691.2672413793102,2397.506346274743,2012.460867430602,1225.6883893452573,916.04360594954,738.7427599909365,4170,374,2459,263,2235,284,10,001,041803
10001041804,5931.843199213538,3802.79483102502,3232.5155521399156,919.2137892361561,950.9560810245957,774.2315532782085,6020,759,3935,512,3275,627,10,001,041804
10001041900,5267.811183548261,4866.898568705695,2590.2890073029594,825.4404811981709,1088.8777470943483,531.2374118777012,5194,634,4433,581,2440,283,10,001,041900
10001042000,3182.099358974359,3079.30403582207,1459.6433673266138,665.9248352804491,772.4592649885744,356.77647992084314,3460,563,2887,595,1567,248,10,001,042000
10001042100,3872.420327817335,3324.151095390202,1905.8978329918414,813.816707334554,804.1618247170459,404.75993570648006,4321,976,3021,704,2350,630,10,001,042100
10001042203,4261.0,3151.146501918209,2172.162923689207,1086.8694266515333,1033.7772768365926,571.131870746849,5809,1046,3818,1087,3143,687,10,001,042203
10001042204,3043.0,2246.883265647343,1549.5329241680877,840.0785573283149,933.1523390607391,495.67251495248695,4202,722,3001,697,2299,463,10,001,042204
10001042205,2462.0,1817.7804208600182,1254.3698536139066,955.9808432553597,900.088442013321,478.22115830857365,2992,722,1299,382,1625,329,10,001,042205
10001042206,2248.0628323385786,1671.502209843625,1091.2998164687153,755.7979446556359,811.9593927636105,438.1040540819993,2624,400,1923,306,1492,281,10,001,042206
10001042207,2489.0,1846.903883705793,1208.0479496637015,781.9963264013019,736.5881871319251,411.28384615981145,2208,273,1679,227,1168,234,10,001,042207
10001042208,4115.452631578947,3053.7747884573664,1997.4544449646571,1106.8482902084793,1070.3539465040212,573.0194777908545,4136,621,2970,428,2282,378,10,001,042208
10001042500,3456.853737113402,2177.6119778730063,1735.913287045306,640.4300630586159,581.4407049986268,366.73072218975955,4470,332,2325,491,2345,297,10,001,042500
10001042801,1998.2379032258063,1568.551650054505,1104.6479574129023,763.3904872022588,757.8443108286473,525.6240382251565,1694,409,1391,510,889,309,10,001,042801
10001042802,5096.883720930233,4000.8876609211407,2817.6135496216834,1237.4227781809236,1072.4221292394916,772.9164334234947,5464,583,4543,695,2970,359,10,001,042802
10001042900,4770.815308195981,4108.996435017567,2368.080928473692,556.7132840312458,691.1724841275085,398.37545302737993,5215,679,4618,611,2605,427,10,001,042900
10001043000,5224.165048543689,4120.892931404984,2567.369328195535,798.5210777523499,859.2349042376078,463.6601093622053,5018,437,3559,640,2710,497,10,001,043000
10001043100,2631.1062927004673,2459.232040542651,1272.6922721659087,818.7692482882138,851.4431010560895,323.6994049113763,2468,407,2360,406,1240,231,10,001,043100
10001043202,3640.3724409026067,3362.450376231083,1751.2094188684134,977.2852992097437,782.6278413952003,342.8405926489052,4412,514,3946,516,2187,282,10,001,043202
10001043300,6131.732758620689,2123.08915589828,3694.548119649156,1138.6164048960513,616.0101016402837,829.7375384065175,6626,484,1986,317,4110,420,10,001,043300
10001043400,4167.37037037037,3451.953854573605,2094.191949947175,842.965513862074,652.5496264714427,340.90732504352445,5552,767,3994,758,2934,497,10,001,043400
10001980000,284.5,226.77257355427798,148.93676022996277,599.9630284367819,135.86139766739848,89.66846481680324,263,134,210,113,53,48,10,001,980000
10003000200,5434.290909090909,1289.0217948002694,2952.3723502800685,890.6633220135109,396.4331286809709,644.821372079377,5596,1311,1942,614,3178,1162,10,003,000200
10003000300,3194.0,512.0,1728.0,458.33270941673214,206.11703265024948,362.61691394679264,3007,631,431,257,1565,352,10,003,000300
10003000400,2956.0,1365.9134172551428,1463.0248695118207,610.0418815189072,369.69026134986075,372.6766080991655,3241,582,1187,142,1688,360,10,003,000400
10003000500,3647.808510638298,438.4255600667487,2010.1146229565152,575.0668557167751,154.32261004281276,448.6360782681641,3892,793,289,139,1855,360,10,003,000500
10003000601,2938.991632653061,173.4333180353481,1486.8391481300653,651.1684825523502,59.089364618231,385.83860286669585,3323,701,104,62,2019,511,10,003,000601
10003000602,2621.781489361702,339.427067819149,1409.4026235593972,715.3428827627913,167.65835904461034,442.00637051130155,2724,683,272,154,1289,285,10,003,000602
10003000900,2223.900900900901,202.52268347965298,1340.0281568766497,455.3135747494412,71.74716588252367,312.78866580484413,2446,434,178,118,1290,258,10,003,000900
10003001100,3259.7525773195875,2521.943716733566,1871.625936189434,446.65589379597793,406.4719301358016,353.148276771423,3183,465,2371,437,1697,294,10,003,001100
10003001200,1529.0,1340.260748959778,783.5859916782247,260.1454399506043,287.628316931538,196.51600492607466,1684,308,1581,308,978,277,10,003,001200
10003001300,3450.3881486576784,3271.0898712031267,1772.5375825492486,486.10790243045955,558.4967853888113,300.1665056993065,3242,264,2889,294,1900,226,10,003,001300
10003001400,2149.36,1555.3157788944725,1223.7310954773868,292.3098319771312,315.36793017523735,206.23646119568068,1990,303,966,194,958,186,10,003,001400
10003001500,2303.0,1141.126126126126,1138.013963963964,362.69666971753827,331.9985024343494,212.41329420201987,2196,490,1054,229,1369,393,10,003,001500
10003001600,2387.0,508.514462594662,1535.2644799037794,607.6832836119086,256.17156726126996,493.7468063692512,2268,431,655,278,1227,282,10,003,001600
10003001902,1918.0,317.008316008316,979.9345114345115,693.3943870586797,119.31060034661034,225.32186277112865,2131,268,533,187,1159,256,10,003,001902
10003002100,1847.0,280.1190332326284,1009.9909365558913,412.28386678054613,109.82684761826275,238.53250171957092,1748,418,248,144,914,254,10,003,002100
10003002200,3340.4660194174758,1614.6997043049266,1829.5630193850452,555.2671024114646,509.96462122076514,444.76023847606785,2815,556,982,265,1414,404,10,003,002200
10003002300,3127.5339805825242,1234.410411262808,1520.4543442820407,574.3438961253746,408.19358305516954,444.12262620698556,2490,602,708,269,1652,507,10,003,002300
10003002400,4702.808948662865,2591.943538796131,2709.4885860442446,1158.0226443926624,839.5612973770361,774.0579476125763,3940,682,2048,454,2378,521,10,003,002400
10003002500,3095.149273668392,2122.929149494638,1549.0593940420556,769.3566071436215,810.2092113049272,484.2564616553933,3263,500,1953,476,1632,372,10,003,002500
10003002600,3922.0,1824.4229263378904,2082.2684096703474,872.3895256233844,572.1018082216528,546.1157800060452,3785,747,1092,302,1882,470,10,003,002600
10003002700,2092.70796460177,1178.5189364911234,1031.925493852169,435.9257766427999,277.1952234141646,168.0384688761166,2654,381,1039,234,1404,227,10,003,002700
10003002800,2005.654323585104,1015.947123031278,1023.3574286480562,914.6561744408501,321.9813449997943,388.13281393202794,1886,332,864,209,938,328,10,003,002800
10003002900,3480.6921981944074,170.98556658941953,1829.4259921805026,591.0583719966431,36.90881006188744,330.159742153282,3558,628,195,89,2097,381,10,003,002900
10003003002,3275.0,474.2739007664381,1344.8769665187576,703.3675631655454,77.28856126557238,236.85905864023013,3593,317,829,239,1215,221,10,003,003002
10003010104,3409.2484876929493,2293.1053587521787,1648.8734013817239,703.0185269683247,524.4421626640864,300.1303089293747,3745,622,2548,608,1847,380,10,003,010104
10003010105,2876.299065420561,1271.1615091539734,1508.0974898436068,508.55806441308084,248.24549222304194,236.1242766191638,2329,452,842,354,1258,303,10,003,010105
10003010106,1685.2194900644224,743.7851453062112,883.8200032175474,322.3166534843482,156.3085049624301,146.82338524047336,1650,359,509,174,1040,343,10,003,010106
10003010200,1982.0,1508.3992229237494,912.5478387566781,162.84885886846277,201.33599068703222,135.84813494282807,2139,322,1445,239,1191,200,10,003,010200
10003010300,2861.075934579439,2171.8965743900258,1290.532265182275,531.4281517395546,542.1341668547129,271.08340809393934,3661,524,1900,302,1847,322,10,003,010300
10003010400,4490.0,3610.773519163763,2175.642276422764,682.0811755034633,800.6369231554064,470.4737251475511,4613,574,3338,585,2468,447,10,003,010400
10003010502,5588.672020581283,4779.619162180114,3082.607119785986,801.1108223364894,873.1495377052274,611.3812028379776,5855,850,4345,588,2905,486,10,003,010502
10003010703,1751.362220917051,983.7896690019196,960.0401878907068,705.4048802149082,538.8689379841452,531.5831939297806,1877,274,990,222,1004,327,10,003,010703
